Profile,Census_Year,Category,Sub_Category,Sub_Order,Value
Australia (country of birth),2016,Labour force status - detailed,"Employed, away from work",3,1473
Australia (country of birth),2016,Labour force status - detailed,"Unemployed, looking for full-time work",4,718
Australia (country of birth),2016,Labour force status - detailed,"Unemployed, looking for part-time work",5,930
Australia (country of birth),2016,Labour force status - detailed,Not in the labour force,6,8282
Australia (country of birth),2016,Labour force status - detailed,Not stated,7,187
Australia (country of birth),2016,Labour force status - detailed,Not applicable,8,6000
Australia (country of birth),2016,Labour force status - overview,Employed,1,28316
Australia (country of birth),2016,Labour force status - overview,Unemployed,2,1648
Australia (country of birth),2016,Labour force status - overview,Not in the labour force,3,8282
Australia (country of birth),2016,Labour force status - overview,Not stated,4,187
Australia (country of birth),2016,Labour force status - overview,Not applicable,5,6000
Australia (country of birth),2016,Occupation,Managers,2,4835
Australia (country of birth),2016,Occupation,Professionals,1,11725
Australia (country of birth),2016,Occupation,Technicians and Trades Workers,6,1472
Australia (country of birth),2016,Occupation,Community and Personal Service Workers,4,2643
Australia (country of birth),2016,Occupation,Clerical and Administrative Workers,3,3688
Australia (country of birth),2016,Occupation,Sales Workers,5,2401
Australia (country of birth),2016,Occupation,Machinery Operators and Drivers,8,318
Australia (country of birth),2016,Occupation,Labourers,7,755
Australia (country of birth),2016,Occupation,Inadequately described,9,345
Australia (country of birth),2016,Occupation,Not stated,10,129
Australia (country of birth),2016,Occupation,Not applicable,11,16126
Australia (country of birth),2016,Personal weekly income - detailed,Negative income,1,121
Australia (country of birth),2016,Personal weekly income - detailed,Nil income,2,2519
Australia (country of birth),2016,Personal weekly income - detailed,$1 - $149,3,1567
Australia (country of birth),2016,Personal weekly income - detailed,$150 - $299,4,2429
Australia (country of birth),2016,Personal weekly income - detailed,$300 - $399,5,1738
Australia (country of birth),2016,Personal weekly income - detailed,$400 - $499,6,1838
Australia (country of birth),2016,Personal weekly income - detailed,$500 - $649,7,2037
Australia (country of birth),2016,Personal weekly income - detailed,$650 - $799,8,2086
Australia (country of birth),2016,Personal weekly income - detailed,$800 - $999,9,2971
Australia (country of birth),2016,Personal weekly income - detailed,"$1,000 - $1,249",10,3817
Australia (country of birth),2016,Personal weekly income - detailed,"$1,250 - $1,499",11,3416
Australia (country of birth),2016,Personal weekly income - detailed,"$1,500 - $1,749",12,3037
Australia (country of birth),2016,Personal weekly income - detailed,"$1,750 - $1,999",13,2255
Australia (country of birth),2016,Personal weekly income - detailed,"$2,000 - $2,999",14,4035
Australia (country of birth),2016,Personal weekly income - detailed,"$3,000 or more",15,3524
Australia (country of birth),2016,Personal weekly income - detailed,Not stated,16,1039
Australia (country of birth),2016,Personal weekly income - detailed,Not applicable,17,6000
Australia (country of birth),2016,Personal weekly income - overview,Less than $500 (Low),1,10212
Australia (country of birth),2016,Personal weekly income - overview,"$500 - $1,749 (Moderate)",2,17364
Australia (country of birth),2016,Personal weekly income - overview,"$1,750 or more (High)",3,9814
Australia (country of birth),2016,Personal weekly income - overview,Not stated,4,1039
Australia (country of birth),2016,Personal weekly income - overview,Not applicable,5,6000
Australia (country of birth),2016,Household composition,One family household with only family members present,1,24095
Australia (country of birth),2016,Household composition,One family household with non-family members present,2,1346
Australia (country of birth),2016,Household composition,Two family household,3,266
Australia (country of birth),2016,Household composition,Three or more family household,4,3
Australia (country of birth),2016,Household composition,Lone person household,5,8550
Australia (country of birth),2016,Household composition,Group household,6,6395
Australia (country of birth),2016,Household composition,Visitors only,7,1283
Australia (country of birth),2016,Household composition,Other non-classifiable,8,33
Australia (country of birth),2016,Household composition,Not applicable,9,10263
Australia (country of birth),2016,Household composition,Family household,1,25710
Australia (country of birth),2016,Household composition,Lone person household,2,8550
Australia (country of birth),2016,Household composition,Group household,3,6395
Australia (country of birth),2016,Household composition,Visitors only,4,1283
Australia (country of birth),2016,Household composition,Other non-classifiable,5,33
Australia (country of birth),2016,Household composition,Not applicable,6,10263
Australia (country of birth),2016,Housing type,Separate house,1,3089
Australia (country of birth),2016,Housing type,"Semi-detached, row or terrace house, townhouse etc. with one storey",2,3666
Australia (country of birth),2016,Housing type,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",3,7978
Australia (country of birth),2016,Housing type,Flat or apartment in a one or two storey block,4,1754
Australia (country of birth),2016,Housing type,Flat or apartment in a three storey block,5,4556
Australia (country of birth),2016,Housing type,Flat or apartment in a four or more storey block,6,20268
Australia (country of birth),2016,Housing type,Flat or apartment attached to a house,7,25
Australia (country of birth),2016,Housing type,Caravan,8,3
Australia (country of birth),2016,Housing type,"Cabin, houseboat",9,11
Australia (country of birth),2016,Housing type,"Improvised home, tent, sleepers out",10,261
Australia (country of birth),2016,Housing type,"House or flat attached to a shop, office, etc.",11,119
Australia (country of birth),2016,Housing type,Not stated,12,252
Australia (country of birth),2016,Housing type,Not applicable,13,10263
Australia (country of birth),2016,Housing tenure,Owned outright,1,7507
Australia (country of birth),2016,Housing tenure,Owned with a mortgage,2,10307
Australia (country of birth),2016,Housing tenure,Being purchased under a shared equity scheme,3,10
Australia (country of birth),2016,Housing tenure,Rented,4,22128
Australia (country of birth),2016,Housing tenure,Being occupied rent-free,5,645
Australia (country of birth),2016,Housing tenure,Being occupied under a life tenure scheme,6,69
Australia (country of birth),2016,Housing tenure,Other tenure type,7,211
Australia (country of birth),2016,Housing tenure,Not stated,8,1094
Australia (country of birth),2016,Housing tenure,Not applicable,9,10263
China (country of birth),2016,Age,0-4 years,1,55
China (country of birth),2016,Age,5-14 years,2,175
China (country of birth),2016,Age,15-19 years,3,3320
China (country of birth),2016,Age,20-24 years,4,9692
China (country of birth),2016,Age,25-29 years,5,4529
China (country of birth),2016,Age,30-34 years,6,1263
China (country of birth),2016,Age,35-39 years,7,378
China (country of birth),2016,Age,40-44 years,8,317
China (country of birth),2016,Age,45-49 years,9,404
China (country of birth),2016,Age,50-54 years,10,386
China (country of birth),2016,Age,55-59 years,11,255
China (country of birth),2016,Age,60-64 years,12,187
China (country of birth),2016,Age,65+ years,13,451
China (country of birth),2016,Proficiency in English,Speaks English only,1,303
China (country of birth),2016,Proficiency in English,Speaks other language and speaks English: Very well,2,4521
China (country of birth),2016,Proficiency in English,Speaks other language and speaks English: Well,3,12673
China (country of birth),2016,Proficiency in English,Speaks other language and speaks English: Not well,4,3214
China (country of birth),2016,Proficiency in English,Speaks other language and speaks English: Not at all,5,604
China (country of birth),2016,Proficiency in English,Not stated - both language (LANP) and proficiency (ENGP) not stated,6,20
China (country of birth),2016,Proficiency in English,"Not stated - language (LANP) stated, proficiency (ENGP) not stated",7,79
China (country of birth),2016,Educational institution attendance,Preschool,1,21
China (country of birth),2016,Educational institution attendance,Infants/Primary,2,91
China (country of birth),2016,Educational institution attendance,Secondary,3,437
China (country of birth),2016,Educational institution attendance,Technical or Further Educational Institution (including TAFE Colleges),4,678
China (country of birth),2016,Educational institution attendance,University or other Tertiary Institution,5,13339
China (country of birth),2016,Educational institution attendance,Other,6,556
China (country of birth),2016,Educational institution attendance,Not stated,7,287
China (country of birth),2016,Educational institution attendance,Not applicable,8,6010
China (country of birth),2016,Level of education,Postgraduate Degree Level,1,2987
China (country of birth),2016,Level of education,Graduate Diploma and Graduate Certificate Level,2,178
China (country of birth),2016,Level of education,Bachelor Degree Level,3,6540
China (country of birth),2016,Level of education,Advanced Diploma and Diploma Level,4,1038
China (country of birth),2016,Level of education,Certificate Level,5,384
China (country of birth),2016,Level of education,Level of education inadequately described,6,270
China (country of birth),2016,Level of education,Level of education not stated,7,404
China (country of birth),2016,Level of education,Not applicable,8,9610
China (country of birth),2016,Religious affiliation,Buddhism,2,1538
China (country of birth),2016,Religious affiliation,Christianity,3,825
China (country of birth),2016,Religious affiliation,Hinduism,6,3
China (country of birth),2016,Religious affiliation,Islam,4,54
China (country of birth),2016,Religious affiliation,Judaism,7,0
China (country of birth),2016,Religious affiliation,Other Religions,5,21
China (country of birth),2016,Religious affiliation,Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation,1,18211
China (country of birth),2016,Religious affiliation,Inadequately described,8,71
China (country of birth),2016,Religious affiliation,Not stated,9,694
China (country of birth),2016,Year of arrival,Before 2000,1,1090
China (country of birth),2016,Year of arrival,2000-2005,2,1144
China (country of birth),2016,Year of arrival,2006-2010,3,3125
China (country of birth),2016,Year of arrival,2011-2015,4,12125
China (country of birth),2016,Year of arrival,Arrived 2016,5,2632
China (country of birth),2016,Need for assistance with core activities,Has need for assistance with core activities,1,226
China (country of birth),2016,Need for assistance with core activities,Does not have need for assistance with core activities,2,20998
China (country of birth),2016,Need for assistance with core activities,Not stated,3,199
China (country of birth),2016,Providing paid assistance,No unpaid assistance provided,1,19950
China (country of birth),2016,Providing paid assistance,Provided unpaid assistance,2,986
China (country of birth),2016,Providing paid assistance,Not stated,3,256
China (country of birth),2016,Providing paid assistance,Not applicable,4,233
China (country of birth),2016,Providing child care,Did not provide child care,1,19890
China (country of birth),2016,Providing child care,Provided child care,2,1099
China (country of birth),2016,Providing child care,Not stated,3,194
China (country of birth),2016,Providing child care,Not applicable,4,233
China (country of birth),2016,Labour force status - detailed,"Employed, worked full-time",1,2745
China (country of birth),2016,Labour force status - detailed,"Employed, worked part-time",2,2102
China (country of birth),2016,Labour force status - detailed,"Employed, away from work",3,243
China (country of birth),2016,Labour force status - detailed,"Unemployed, looking for full-time work",4,515
China (country of birth),2016,Labour force status - detailed,"Unemployed, looking for part-time work",5,1552
China (country of birth),2016,Labour force status - detailed,Not in the labour force,6,13970
China (country of birth),2016,Labour force status - detailed,Not stated,7,57
China (country of birth),2016,Labour force status - detailed,Not applicable,8,233
China (country of birth),2016,Labour force status - overview,Employed,1,5090
China (country of birth),2016,Labour force status - overview,Unemployed,2,2067
China (country of birth),2016,Labour force status - overview,Not in the labour force,3,13970
China (country of birth),2016,Labour force status - overview,Not stated,4,57
China (country of birth),2016,Labour force status - overview,Not applicable,5,233
China (country of birth),2016,Occupation,Managers,3,680
China (country of birth),2016,Occupation,Professionals,1,1784
China (country of birth),2016,Occupation,Technicians and Trades Workers,6,308
China (country of birth),2016,Occupation,Community and Personal Service Workers,5,589
China (country of birth),2016,Occupation,Clerical and Administrative Workers,4,600
China (country of birth),2016,Occupation,Sales Workers,2,765
China (country of birth),2016,Occupation,Machinery Operators and Drivers,8,36
China (country of birth),2016,Occupation,Labourers,7,229
China (country of birth),2016,Occupation,Inadequately described,9,56
China (country of birth),2016,Occupation,Not stated,10,48
China (country of birth),2016,Occupation,Not applicable,11,16324
China (country of birth),2016,Personal weekly income - detailed,Negative income,1,408
China (country of birth),2016,Personal weekly income - detailed,Nil income,2,10581
China (country of birth),2016,Personal weekly income - detailed,$1 - $149,3,1087
China (country of birth),2016,Personal weekly income - detailed,$150 - $299,4,1086
China (country of birth),2016,Personal weekly income - detailed,$300 - $399,5,1012
China (country of birth),2016,Personal weekly income - detailed,$400 - $499,6,932
China (country of birth),2016,Personal weekly income - detailed,$500 - $649,7,1171
China (country of birth),2016,Personal weekly income - detailed,$650 - $799,8,959
China (country of birth),2016,Personal weekly income - detailed,$800 - $999,9,1050
China (country of birth),2016,Personal weekly income - detailed,"$1,000 - $1,249",10,1077
China (country of birth),2016,Personal weekly income - detailed,"$1,250 - $1,499",11,542
China (country of birth),2016,Personal weekly income - detailed,"$1,500 - $1,749",12,338
China (country of birth),2016,Personal weekly income - detailed,"$1,750 - $1,999",13,220
China (country of birth),2016,Personal weekly income - detailed,"$2,000 - $2,999",14,348
China (country of birth),2016,Personal weekly income - detailed,"$3,000 or more",15,191
China (country of birth),2016,Personal weekly income - detailed,Not stated,16,203
China (country of birth),2016,Personal weekly income - detailed,Not applicable,17,233
China (country of birth),2016,Personal weekly income - overview,Less than $500 (Low),1,15106
China (country of birth),2016,Personal weekly income - overview,"$500 - $1,749 (Moderate)",2,5137
China (country of birth),2016,Personal weekly income - overview,"$1,750 or more (High)",3,759
China (country of birth),2016,Personal weekly income - overview,Not stated,4,203
China (country of birth),2016,Personal weekly income - overview,Not applicable,5,233
China (country of birth),2016,Household composition,One family household with only family members present,1,5347
China (country of birth),2016,Household composition,One family household with non-family members present,2,1426
China (country of birth),2016,Household composition,Two family household,3,200
China (country of birth),2016,Household composition,Three or more family household,4,0
China (country of birth),2016,Household composition,Lone person household,5,3436
China (country of birth),2016,Household composition,Group household,6,9904
China (country of birth),2016,Household composition,Visitors only,7,201
China (country of birth),2016,Household composition,Other non-classifiable,8,9
China (country of birth),2016,Household composition,Not applicable,9,1063
China (country of birth),2016,Household composition,Family household,1,6973
China (country of birth),2016,Household composition,Lone person household,2,3436
China (country of birth),2016,Household composition,Group household,3,9904
China (country of birth),2016,Household composition,Visitors only,4,201
China (country of birth),2016,Household composition,Other non-classifiable,5,9
China (country of birth),2016,Household composition,Not applicable,6,1063
China (country of birth),2016,Housing type,Separate house,1,111
China (country of birth),2016,Housing type,"Semi-detached, row or terrace house, townhouse etc. with one storey",2,141
China (country of birth),2016,Housing type,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys",3,652
China (country of birth),2016,Housing type,Flat or apartment in a one or two storey block,4,245
China (country of birth),2016,Housing type,Flat or apartment in a three storey block,5,800
China (country of birth),2016,Housing type,Flat or apartment in a four or more storey block,6,18390
China (country of birth),2016,Housing type,Flat or apartment attached to a house,7,7
China (country of birth),2016,Housing type,Caravan,8,0
China (country of birth),2016,Housing type,"Cabin, houseboat",9,0
China (country of birth),2016,Housing type,"Improvised home, tent, sleepers out",10,4
China (country of birth),2016,Housing type,"House or flat attached to a shop, office, etc.",11,16
China (country of birth),2016,Housing type,Not stated,12,158
China (country of birth),2016,Housing type,Not applicable,13,1063
China (country of birth),2016,Housing tenure,Owned outright,1,2129
China (country of birth),2016,Housing tenure,Owned with a mortgage,2,2761
China (country of birth),2016,Housing tenure,Being purchased under a shared equity scheme,3,81
China (country of birth),2016,Housing tenure,Rented,4,14449
China (country of birth),2016,Housing tenure,Being occupied rent-free,5,329
China (country of birth),2016,Housing tenure,Being occupied under a life tenure scheme,6,149
China (country of birth),2016,Housing tenure,Other tenure type,7,86
China (country of birth),2016,Housing tenure,Not stated,8,537
China (country of birth),2016,Housing tenure,Not applicable,9,1063
Malaysia (country of birth),2016,Age,0-4 years,1,13
Malaysia (country of birth),2016,Age,5-14 years,2,51
Malaysia (country of birth),2016,Age,15-19 years,3,816
Malaysia (country of birth),2016,Age,20-24 years,4,2413
Malaysia (country of birth),2016,Age,25-29 years,5,1209
Malaysia (country of birth),2016,Age,30-34 years,6,898
Malaysia (country of birth),2016,Age,35-39 years,7,446
Malaysia (country of birth),2016,Age,40-44 years,8,195
Malaysia (country of birth),2016,Age,45-49 years,9,118
Malaysia (country of birth),2016,Age,50-54 years,10,119
Malaysia (country of birth),2016,Age,55-59 years,11,99
Malaysia (country of birth),2016,Age,60-64 years,12,102
Malaysia (country of birth),2016,Age,65+ years,13,142
Malaysia (country of birth),2016,Proficiency in English,Speaks English only,1,1509
Malaysia (country of birth),2016,Proficiency in English,Speaks other language and speaks English: Very well,2,2407
Malaysia (country of birth),2016,Proficiency in English,Speaks other language and speaks English: Well,3,2189
Malaysia (country of birth),2016,Proficiency in English,Speaks other language and speaks English: Not well,4,462
Malaysia (country of birth),2016,Proficiency in English,Speaks other language and speaks English: Not at all,5,38
Malaysia (country of birth),2016,Proficiency in English,Not stated - both language (LANP) and proficiency (ENGP) not stated,6,0
Malaysia (country of birth),2016,Proficiency in English,"Not stated - language (LANP) stated, proficiency (ENGP) not stated",7,24
Malaysia (country of birth),2016,Educational institution attendance,Preschool,1,8
Malaysia (country of birth),2016,Educational institution attendance,Infants/Primary,2,33
Malaysia (country of birth),2016,Educational institution attendance,Secondary,3,95
Malaysia (country of birth),2016,Educational institution attendance,Technical or Further Educational Institution (including TAFE Colleges),4,488
Malaysia (country of birth),2016,Educational institution attendance,University or other Tertiary Institution,5,2766
Malaysia (country of birth),2016,Educational institution attendance,Other,6,293
Malaysia (country of birth),2016,Educational institution attendance,Not stated,7,81
Malaysia (country of birth),2016,Educational institution attendance,Not applicable,8,2865
Malaysia (country of birth),2016,Level of education,Postgraduate Degree Level,1,722
Malaysia (country of birth),2016,Level of education,Graduate Diploma and Graduate Certificate Level,2,121
Malaysia (country of birth),2016,Level of education,Bachelor Degree Level,3,2062
Malaysia (country of birth),2016,Level of education,Advanced Diploma and Diploma Level,4,501
Malaysia (country of birth),2016,Level of education,Certificate Level,5,195
Malaysia (country of birth),2016,Level of education,Level of education inadequately described,6,88
Malaysia (country of birth),2016,Level of education,Level of education not stated,7,123
Malaysia (country of birth),2016,Level of education,Not applicable,8,2813
Malaysia (country of birth),2016,Religious affiliation,Buddhism,1,2556
Malaysia (country of birth),2016,Religious affiliation,Christianity,2,1636
Malaysia (country of birth),2016,Religious affiliation,Hinduism,5,121
Malaysia (country of birth),2016,Religious affiliation,Islam,4,428
Malaysia (country of birth),2016,Religious affiliation,Judaism,7,0
Malaysia (country of birth),2016,Religious affiliation,Other Religions,6,63
Malaysia (country of birth),2016,Religious affiliation,Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation,3,1531
Malaysia (country of birth),2016,Religious affiliation,Inadequately described,8,14
Malaysia (country of birth),2016,Religious affiliation,Not stated,9,274
Malaysia (country of birth),2016,Year of arrival,Before 2000,1,719
Malaysia (country of birth),2016,Year of arrival,2000-2005,2,672
Malaysia (country of birth),2016,Year of arrival,2006-2010,3,1008
Malaysia (country of birth),2016,Year of arrival,2011-2015,4,3031
Malaysia (country of birth),2016,Year of arrival,Arrived 2016,5,933
Malaysia (country of birth),2016,Need for assistance with core activities,Has need for assistance with core activities,1,35
Malaysia (country of birth),2016,Need for assistance with core activities,Does not have need for assistance with core activities,2,6504
Malaysia (country of birth),2016,Need for assistance with core activities,Not stated,3,82
Malaysia (country of birth),2016,Providing paid assistance,No unpaid assistance provided,1,6301
Malaysia (country of birth),2016,Providing paid assistance,Provided unpaid assistance,2,165
Malaysia (country of birth),2016,Providing paid assistance,Not stated,3,92
Malaysia (country of birth),2016,Providing paid assistance,Not applicable,4,67
Malaysia (country of birth),2016,Providing child care,Did not provide child care,1,6087
Malaysia (country of birth),2016,Providing child care,Provided child care,2,402
Malaysia (country of birth),2016,Providing child care,Not stated,3,69
Malaysia (country of birth),2016,Providing child care,Not applicable,4,67
Malaysia (country of birth),2016,Labour force status - detailed,"Employed, worked full-time",1,1819
Malaysia (country of birth),2016,Labour force status - detailed,"Employed, worked part-time",2,1215
Malaysia (country of birth),2016,Labour force status - detailed,"Employed, away from work",3,151
Malaysia (country of birth),2016,Labour force status - detailed,"Unemployed, looking for full-time work",4,148
Malaysia (country of birth),2016,Labour force status - detailed,"Unemployed, looking for part-time work",5,451
Malaysia (country of birth),2016,Labour force status - detailed,Not in the labour force,6,2759
Malaysia (country of birth),2016,Labour force status - detailed,Not stated,7,20
Malaysia (country of birth),2016,Labour force status - detailed,Not applicable,8,67
Malaysia (country of birth),2016,Labour force status - overview,Employed,1,3185
Malaysia (country of birth),2016,Labour force status - overview,Unemployed,2,599
Malaysia (country of birth),2016,Labour force status - overview,Not in the labour force,3,2759
Malaysia (country of birth),2016,Labour force status - overview,Not stated,4,20
Malaysia (country of birth),2016,Labour force status - overview,Not applicable,5,67
Malaysia (country of birth),2016,Occupation,Managers,4,315
Malaysia (country of birth),2016,Occupation,Professionals,1,1272
Malaysia (country of birth),2016,Occupation,Technicians and Trades Workers,5,287
Malaysia (country of birth),2016,Occupation,Community and Personal Service Workers,2,420
Malaysia (country of birth),2016,Occupation,Clerical and Administrative Workers,3,329
Malaysia (country of birth),2016,Occupation,Sales Workers,7,241
Malaysia (country of birth),2016,Occupation,Machinery Operators and Drivers,8,26
Malaysia (country of birth),2016,Occupation,Labourers,6,246
Malaysia (country of birth),2016,Occupation,Inadequately described,9,22
Malaysia (country of birth),2016,Occupation,Not stated,10,26
Malaysia (country of birth),2016,Occupation,Not applicable,11,3445
